Sr. No.,Nature of Agreement ,Date of Agreement,Group Entity,Name of the counter party,Proposed Services,Tenure & Termination,Consideration involved,SLA Involved,Primary Contact -           For India Bonds,Primary Contact -                                    For Vendor,Remarks,,,
12,Agreement for Organic Search Marketing (SEO),12-May-22,India Bond Private Limited,Puretech Internet Private Limited,To avail Services of Organic Search Marketing (“SEO”),"36 (Thirty Six) Months (with automatic renewal upon mutual agreement)
30 days termination","Monthly retainer fees of INR 1,00,000/-",NO,Anushri Thakur,"Prashant Deorah
prashant.deorah@puretech.com

Vinay Pillai
vinay.pillai@puretech.com
9029840855","The Company now also avails Paid Media Services from Puretech vide First Addendum Agreement dated         November 21, 2022. 

Reminder for renewal due. Scope and Commercials.",,,
13,Second Addendum Agreement,28-Apr-25,India Bond Private Limited,Puretech Internet Private Limited,"Schedule-B of the Principal Agreement pertaining to Service Fees and Payment Structure, be
replaced with the Annexure 1 of this Second Addendum","shall be amended to extend the term
for a period of 36 (thirty-six) months i.e., until April 30, 2028","Monthly retainer fees of INR 1,15,000/-",NO,Anushri Thakur,"Prashant Deorah
prashant.deorah@puretech.com

Vinay Pillai
vinay.pillai@puretech.com
9029840855",,,,
14,Service Arrangement,23-Sep-22,India Bond Private Limited,Jio Haptik Technologies Limited,Whatsapp business service,NA,"Advance Payment made for monthly subscription: INR 2,500/-
 
Conversation rate(s): 
Business Initiated:         INR 0.4843 
User Initiated: 0.2906
",NO,Swapnil Shinde ,"Prateek Garimella
Sales & Growth
",,,,
15,Master Services Agreement,1-Oct-22,India Bond Private Limited,RAZORPAY SOFTWARE PRIVATE LIMITED,"Payment gateway aggregation and developing and implementing
payment related solutions","Perpetual (SOF-Start Date untill Terminated)
90 days termination",As specified in Annexure II -Fees,NO,Ashit Raja / Anand Sonawane,"Atul Mehta
SVP Sales",Reminder for renewal due. Scope and Commercials.,,,
16,Resource Partnership Agreement,12-Dec-22,India Bond Private Limited,Scrabble Advisors Private Limited,"To introduce candidates to the Client who will be considered by the Client for Engagement for employment, hire or other use, directly or indirectly,
and whether under a contract of service or contract for services or otherwise, and on a permanent,
temporary or other basis","12 months
(With 1 month termination)","One-time fees of 15% of Annual Fixed Pay (including Guaranteed, joining and
conditional bonus) exclusive of GST",NO,"Mr. Mihir More, AVP- HR","Mr. Naveen Tiwari, Co-founder","Mihir More, Human Resource",,,
17,Extension Letter,30-Nov-23,India Bond Private Limited,Scrabble Advisors Private Limited,"Extension of Services for 2 (two) years i.e., upto December 11, 2025","24 months from December 12, 2023 to December 11, 2025",Yes,NO,"Mr. Mihir More, AVP- HR","Mr. Naveen Tiwari, Co-founder",,,,
18,Terms of Engagement,1-Oct-23,India Bond Private Limited,Jigsow Advisors LLP,"introduce candidates to the Company who will be considered for Engagement. ‘Engagement’ means the employment, hire or other use, directly or indirectly, and whether under a contract of service or contract for services or otherwise, and on a permanent, temporary, or other basis, of a Candidate.","1 years;
30 (Thirty) days notice.",Yes,NO,"Mr. Mihir More, AVP- HR","Mr. Naveen Tiwari, Co-founder",,,,
19,Extension Letter,23-Sep-23,India Bond Private Limited,Jigsow Advisors LLP,"Extension of Services for a further period up to December 31, 2025","renewed for a further period up to December 31, 2025",Yes,NO,"Mr. Mihir More, AVP- HR","Mr. Naveen Tiwari, Co-founder",,,,
20,Service Agreement,2-May-23,India Bond Private Limited,Concept Public Relations India Limited,To avail public relations services for promotion of the brand India Bond.,"One Year (with automatic renewal for One year unless terminated)
2 months notice for termination","Monthly retainer fee of INR 2,50,000/-",NO,Vishal Goenka, Pooja Chaudhri ,Marketing Team ,,,
21,First Addendum Agreement,7-May-25,India Bond Private Limited,Concept Public Relations India Limited,,"Extension for a period of 2 (two) years i.e., until March 14, 2027","Monthly retainer fee of INR 2,62,500/-
(Annexure-I)",NO,Vishal Goenka, Pooja Chaudhri ,Marketing Team ,,,
22,Agreement between Clearing Member and Trading Member ,11-Sep-24,India Bond Private Limited,SMC Global Securities Limited ,The obligations of clearing and settlement of trades of the Trading member (NSE),"Perpetual 
Termination with 1 months notice",,NO,"Harshad Babade,
Compliance Officer ","Harshad Babade,
Compliance Officer ",,,,
23,Agreement between Clearing Member and Trading Member ,6-Jun-24,India Bond Private Limited,SMC Global Securities Limited ,The obligations of clearing and settlement of trades of the Trading member (BSE),"Perpetual 
Termination with 1 months notice",,NO,"Harshad Babade,
Compliance Officer ","Amit Malhotra,
BDM Clearing Services",,,,
24,Messaging Services Agreement,8-May-23,India Bond Private Limited,KARIX MOBILE PRIVATE LIMITED,"To access and use the WhatsApp Business Solution to interact with Messaging Platform and other APIs (“WhatsApp Business APIs”), WhatsApp Bot Services in order to send messages or use other available features.","One Year
Thirty (30) days termination",As per EXHIBIT A,NO,Swapnil Shinde,Ms. Seshanuradha Chava,,,,
25,Amendment No. 1 to Messaging Service Agreement,11-Apr-25,India Bond Private Limited,KARIX MOBILE PRIVATE LIMITED,same,Term Extended to 06th May 2026 ,As per EXHIBIT A,NO,Swapnil Shinde,Ms. Seshanuradha Chava,,,,
26,Agreement for e-Sign services,20-Jun-23,India Bond Private Limited,Protean eGov Technologies Limited,e-Sign electronic Online Signature services from ESP,14/07/2023 to 31/03/2026,"the Fees will be leviable
as specified. Any modification in the fees will be intimated in writing to the ASP.",No,"Address: 605, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz (East),
Mumbai – 400 098
Attention: Mr. Sachin Vengurlekar
Phone Numbers: 022-67546500
Fax No.: 022-66100594","Address: First Floor, Times Tower, Kamala Mills Compound, Senapati Bapat Marg, Lower
Parel, Mumbai – 400 013
Attention: Mr. Avinash Krishnan
Phone Numbers: 022-4090 4338
Fax No.: 022 – 2499 4690",,,,
27,Addendum No. 1,7-Nov-25,India Bond Private Limited,Protean eGov Technologies Limited,Clause 13.2 to be modified to make the Principal Agreement valid until perpetuity.,Clause 13.2 to be modified to make the Principal Agreement valid until perpetuity.,,No,"Address: 605, 6th Floor, Windsor, Off CST Road, Kalina, Santacruz (East),
Mumbai – 400 098
Attention: Mr. Sachin Vengurlekar
Phone Numbers: 022-67546500
Fax No.: 022-66100594","Address: First Floor, Times Tower, Kamala Mills Compound, Senapati Bapat Marg, Lower
Parel, Mumbai – 400 013
Attention: Mr. Avinash Krishnan
Phone Numbers: 022-4090 4338
Fax No.: 022 – 2499 4690",,,,
28,HYPERVERGE COMMERCIAL API LICENSE AGREEMENT,9-Aug-23,"India Bond Private Limited


",HyperVerge Technologies Private Limited,"To avail services offered by HyperVerge Commercial API, HyperVerge SDK (if applicable) and the Shared Platform",Perpetual,As specified in Part A - License Fee  and Part B - Service Costs of EXHIBIT B of the Agreement,YES,,Ms. Megha Nambiar,As per Agreement,,,
29,HYPERVERGE COMMERCIAL API LICENSE AGREEMENT,12-Sep-23,"A. K. Capital Services Limited
A. K. Capital Finance Limited
A. K. Stockmart Private Limited
",HyperVerge Technologies Private Limited,"To avail services offered by HyperVerge Commercial API, HyperVerge SDK (if applicable) and the Shared Platform",Perpetual,As specified in Part A - License Fee  and Part B - Service Costs of EXHIBIT B of the Agreement,YES,,Ms. Megha Nambiar,As per Agreement,,,
30,Service Agreement,11-Sep-23,India Bond Private Limited,Techila Global Services Limited,To avial Staff Augmentation Services,3 months (renewal at sole discretion of client),"INR 1,40,000",YES,Mihir More,Anamika Mishra,"Mihir More, Human Resource",,,
31,Service Agreement,3-Oct-23,India Bond Private Limited,AstTECS Communication Pvt Ltd,Truecaller Services,3 months (with automatic renewal),15000 per month,NO,Swapnil Shinde,Binish VJ,,,,
32,OUTSOURCING AGREEMENT,26-Apr-24,India Bond Private Limited,Unify Facility Management Pvt Ltd,To arrange personnel/manpower supply to the Company from time to time for its various administrative and operational needs,3 Years (With 1 month termination),4.50% on the Monthly CTC,NO,Jitendra Kantharia,Amit Suryavanshi,Jitendra Kantharia,,,
33,Service Agreement,30-Apr-24,India Bond Private Limited,Hitachi Systems India Private Limited,Implementing ISMS as per ISO27001:2022 & ISO27001 Certification,Perpetual (With 30 days termination),"Implementing ISMS as per ISO27001:2022: 
INR 4,37,500/- plus GST
ISO27001 Certification: 
INR 4,06,250 plus GST
",YES,"Anand Sonawane
Vice President","Falguni Patel
Regional Head",,,,
34,Service Agreement,13-May-24,India Bond Private Limited,Ethinos Digital Marketing Private Limited,Digital Marketing Services& Web Solutions,Twelve (12) Months (With 30 days termination),As a percentage of monthly media spend as specified in Schedule A,YES,"Anushri Thakur
Senior Manager- Marketing","Siddharth Hegde
Managing Director
",Marketing Team; Anushri ,,,
35,First Addendum,23-Jun-25,India Bond Private Limited,Ethinos Digital Marketing Private Limited,Extension of the Principal Agreement above for a period of 12 months,Twelve (12) Months (With 30 days termination),,,,,Marketing Team; Anushri ,,,
36,Marketing Services Agreement,27-May-24,India Bond Private Limited,Smile Internet Technologies Private Limited,to provide the marketing services to the Client as mutually agreed in writing,"Perpetual.
Fifteen (15) days’ notice","INR 1 Lakh for commencement and credits to be used for
marketing spends as in dashboard.",No,Anushri Thakur,"Siddharth Puri,
Director/Founder",Anushri to advise on the extension or discontinuation.,,,
37,Service Agreement,5-Jul-24,"A. K. Capital Services Limited
A. K. Capital Finance Limited
A. K. Services Private Limited
A. K. Wealth Management Private Limited",Kochar Consultants Private Limited,ASP IS Audit Compliance Report as mandated by CCA / NSDL / Protean,Perpetual (With 30 days termination),"INR 15,000 each for 4 entities = INR 60,000",YES,"Mr. Ashit Raja
Associate Director","Mr. Siddhant Mehta
Director",,,,
38,Service Agreement,21-Jan-25,India Bond Private Limited,Kochar Consultants Private Limited,ASP IS Audit Compliance Report as mandated by CCA / NSDL / Protean,Perpetual (With 30 days termination),"INR 15,000 ",NO,"Mr. Anand Sonawane,
CISO","Mr. Siddhant Mehta
Director",Physical copy pending to be received.,,,
39,Distributor Agreement,19-Jul-24,India Bond Private Limited,Sriram Finance Limited ,Distribution of Fixed Deposits by IndiaBonds,Agreement shall come into effect on effective date and will continue unless terminated,As per the rates shared by Sriram from time to time,NO,"Jenil Sheth
Vice President",Mr. Rajeev Garg,,,,
40,Service Agreement,30-Dec-24,India Bond Private Limited,Designcoz Private Limited,designing and developing of UI / UX designs,"6 (six months) or the delivery of assets, final handover and final payment, whichever is later","INR 10,00,000/-",No,"Jenil Sheth
Vice President","Ms. Devina Coutinho
devina@designcoz.com",,,,
41,Distributor Agreement,6-Dec-24,India Bond Private Limited,Bajaj Finance Limited ,Distribution of Fixed Deposits by IndiaBonds,valid for a period of 3 years ,Fee at the rates and as per the terms and conditions mutually agreed between BFL and IndiaBonds in advance in writing.,NO,"Jenil Sheth
Vice President","Sachita Mohanty
sachita.mohanty@bajajfinserv.in",,,,
42,SAAS Order Form ,30-Apr-24,India Bond Private Limited,Darwinbox Digital Solutions Private Limited,"access to its Darwinbox Human Resource Management Cloud Solution (""Software"")","3 (three) years;
auto-renew for successive period of 1 (one) year unless earlier terminated","INR 800,000 PA (upto 150 users)
INR ",,Mihir More,,,,,
43,Merchant Service Agreement,13-May-21,India Bond Private Limited,Atom Technologies Limited,"To avail multiple payment facilities over multiple
channels such as Internet, IVR and Mobile using credit/debit card, net banking, loyalty, prepaid cards,
wallets, IMPS, POS MPOS, QR, UPI, Mobile Application. ","One Year -with automatic renewal for 12 months
(With 90 days termination)","One Time Set Up
commercials -Rs. 100,000+GST
AMC-Rs. 10,000 + GST
Net Banking-Rs. 8/- + GST
UPI Transaction Cost-As per RBI- NIL
",NO, Ashit Raja,"Shrutika Bhongale
shrutika.bhongale@atomtech.in
8657594127

Navpreet Kaur
navpreet.kaur@atomtech.in
9167396647","The name of Atom Technologies has been changed to NTT DATA Payment Services India Limited.

Clause 4.2 of the Original Agreement amended w.r.t. to mutual consent for change in fees (as against the advance notice of 30 days) vide Addendum No. 1 dated 10/08/2022.

",,,
44,Annual Maintenance Contract ,28-Aug-24,Family Home Finance Private Limited,IndiaBonds Technologies Private Limited,"IB Tech to perform annual maintenance and support
services to ensure the Website remains functional, secure, and up-to-date","Perpetual 
Termination with 60 days notice ","INR 100,000 per annum (in advance)",NO,"Jinit Gopaldas Kewalramani,
Chief Financial Officer","Nikhil Dharamprakash Gupta,
Director",,,,
45,Annual Maintenance Contract ,28-Aug-24,A. K. Capital Services Limited,IndiaBonds Technologies Private Limited,"IB Tech to perform annual maintenance and support
services to ensure the Website remains functional, secure, and up-to-date","Perpetual 
Termination with 60 days notice ","INR 500,000 per annum (in advance)",NO,"Mahesh Bhootra,
Chief Financial Officer","Nikhil Dharamprakash Gupta,
Director",,,,
46,Annual Maintenance Contract ,28-Aug-24,A. K. Services Private Limited,IndiaBonds Technologies Private Limited,"IB Tech to perform annual maintenance and support
services to ensure the Website remains functional, secure, and up-to-date","Perpetual 
Termination with 60 days notice ","INR 100,000 per annum (in advance)",NO,"Dinesh Kumar Gupta,
Director","Nikhil Dharamprakash Gupta,
Director",,,,
47,Annual Maintenance Contract ,28-Aug-24,A.K. Stockmart Private Limited,IndiaBonds Technologies Private Limited,"IB Tech to perform annual maintenance and support
services to ensure the Website remains functional, secure, and up-to-date","Perpetual 
Termination with 60 days notice ","INR 100,000 per annum (in advance)",NO,"Ranjit Dutta,
Chief Financial Officer","Nikhil Dharamprakash Gupta,
Director",,,,
48,Agreement for Appointment of Third Party Seller,28-Aug-24,A. K. Capital Services Limited,India Bond Private Limited,"Facilitate investor access and enable transactions in debt securities through IndiaBonds’ online platform (https://www.indiabonds.com/).
","Perpetual 
Termination with 60 days notice ","Platform Usage Fees: INR 30,00,000
Customer / Operation Support Fees: INR 18,00,000",NO,"Anand Sonawane,
CISO","Mahesh Bhootra,
Chief Financial Officer",,,,
49,Agreement for Appointment of Third Party Seller,28-Aug-24,A. K. Capital Finance Limited,India Bond Private Limited,"Facilitate investor access and enable transactions in debt securities through IndiaBonds’ online platform (https://www.indiabonds.com/).
","Perpetual 
Termination with 60 days notice ","Platform Usage Fees: INR 30,00,000
Customer / Operation Support Fees: INR 18,00,000",NO,"Anand Sonawane,
CISO","Mahesh Bhootra,
Chief Financial Officer",,,,
50,Agreement for Appointment of Third Party Seller,28-Aug-24,A. K. Stockmart Private Limited,India Bond Private Limited,"Facilitate investor access and enable transactions in debt securities through IndiaBonds’ online platform (https://www.indiabonds.com/).
","Perpetual 
Termination with 60 days notice ","Platform Usage Fees: INR 30,00,000
Customer / Operation Support Fees: INR 6,00,000",NO,"Anand Sonawane,
CISO","Ranjit Dutta,
Chief Financial Officer",,,,
51,Agreement for Appointment of Third Party Seller,25-Jun-25,IB Future Tech Private Limited ,India Bond Private Limited,"Facilitate investor access and enable transactions in debt securities through IndiaBonds’ online platform (https://www.indiabonds.com/).
","Perpetual 
Termination with 60 days notice ",Schedule B: Service Fees and Consideration,NO,"Aditi Mittal,
Director","Nikhil Dharamprakash Gupta,
Director",,,,
52,Leave & License Agreement,20-Sep-23,India Bond Private Limited,"A. K. Capital Services Limited

",To take premises situated at Tulsiani Chambers on Leave & License basis,36 months (21/09/2023 and  20/09/2026),"License fee: INR 61,250/- per month",NO,Tejas Dawda,Harshad Babade,,,,
53,Sub-License Agreement,13-Oct-23,India Bond Private Limited,OBPP Association,To sub license premises situated at Tulsiani Chambers ,5 months (13/10/2023 to 12/03/2024,"License fee: INR 5,000/- per month",NO,Harshad Babade,Vibhor Mittal,,,,
54,Cost Sharing Agreement,26-Jul-24,India Bond Private Limited,IndiaBonds Technologies Private Limited,IndiaBonds Tech to make use of services on a sharing basis subject to reimbursement of costs/ expenses,"Perpetual 
Termination with 60 days notice ","Office Premises: INR 50,000 p.m.
Furniture: INR 5,000 p.m.
daily expenses: INR 5,000 p.m.
Personnel/Employee Sharing: INR 40,000 p.m.",NO,"Harshad Babade,
Compliance Officer","Anand Sonawane,
Director",,,,
55,Software License Agreement,20-Sep-24,IndiaBonds Technologies Private Limited,A. K. Wealth Management Private Limited,License to access and use the Software as prescribed in Schedule A,"Perpetual 
Termination with 60 days notice ",List of Software Licenses and their respective Service Fees prescribed in Schedule B,YES,"Nikhil Dharamprakash Gupta,
Director","Vikas Santosh Jain, 
Director",SLA Specified in Schedule C of the Agreement ,,,
56,Software License Agreement,20-Sep-24,IndiaBonds Technologies Private Limited,A. K. Capital Finance Limited,License to access and use the Software as prescribed in Schedule A,"Perpetual 
Termination with 60 days notice ",List of Software Licenses and their respective Service Fees prescribed in Schedule B,YES,"Nikhil Dharamprakash Gupta,
Director","Mahesh Bhootra,
Chief Financial Officer",SLA Specified in Schedule C of the Agreement ,,,
57,Software License Agreement,20-Sep-24,IndiaBonds Technologies Private Limited,A. K. Capital Services Limited,License to access and use the Software as prescribed in Schedule A,"Perpetual 
Termination with 60 days notice ",List of Software Licenses and their respective Service Fees prescribed in Schedule B,YES,"Nikhil Dharamprakash Gupta,
Director","Mahesh Bhootra,
Chief Financial Officer",SLA Specified in Schedule C of the Agreement ,,,
58,Software License Agreement,20-Sep-24,IndiaBonds Technologies Private Limited,A. K. Stockmart Private Limited,License to access and use the Software as prescribed in Schedule A,"Perpetual 
Termination with 60 days notice ",List of Software Licenses and their respective Service Fees prescribed in Schedule B,YES,"Nikhil Dharamprakash Gupta,
Director","Ranjit Dutta,
Chief Financial Officer",SLA Specified in Schedule C of the Agreement ,,,
59,Service Agreement,17-Jan-25,India Bond Private Limited,Trojan Hunt India LLP,VAPT of Company's Mobile Application ,30 days advance notice in writing to other party ,"INR 80,000/- (Schedule - B)","Yes
(Schedule A)",Anand Sonawane,"Mr. Kunal Sharma

kunal@trojanhuntindia.com",,,,
60,Payment Solution Agreement,18-Feb-25,India Bond Private Limited,Cashfree Payments India Private Limited,"Payment gateway and developing and implementing
payment related solutions","Perpetual 
Termination with 60 days notice ",Platform Fees prescribed in Annexure-1,YES,Anand Sonawane,"Rahul Ramesan
9645015027
rahul.r@cashfree.com",,,,
61,Services Agreement,29-Dec-25,India Bond Private Limited,Cashfree Payments India Private Limited,"PAN Verification, PAN 360 & Name Match","Perpetual till terminated by
either Party as per terms of this Agreement
","Annexure-2:
PAN Verification: INR 1
PAN 360: INR 2.50
Name Match: INR 0.50",No,"For Business Related-api@indiabonds.com
For Compliance related
compliance@indiabonds.com
For operations and related matters
.api@indiabonds.com","For Legal related -
legal@cashfree.com
For Business Relatedcare@
cashfree.com
For Compliance related
care@cashfree.com
For operations and realted matters
care@cashfree.com",,,,
62,Master Service Agreement,4-Feb-25,India Bond Private Limited,Fixerra Private Limited,Fixerra grants Client a right to market and make available Fixed Deposits to its Customers through its Mobile Application and/or Website. ,"Perpetual 
Termination with 60 days notice ",Fees prescribed in Annexure-4,YES,"Jenil Sheth
Vice President","Arshya Dhawan
arshya@fixerra.in

Priyanka Satra
priyanka@fixerra.in

Akshar Shah
akshar@fixerra.in",,,,
63,Sub-Consortium/Sub-broker member,27-Mar-25,India Bond Private Limited,Moneywise Finvest Limited (“MFL”),for Public Issue of SMC Global Securities Limited,NA,Yes,No,Vaibhav / Harish Jagdale,,,,,
64,Services Agreement,14-Apr-25,India Bond Private Limited,One Club Ventures Private Limited,"conducting awareness programs, masterclass(es) to undertake initiatives in compliance with applicable laws and regulatory requirements",initial period of 1 (One) Year (“Initial Term”). The Term of the Agreement will automatically renew and extend for subsequent 1 (One) year period,"Yes. Payment of INR 4,00,000/- (Rupees Four Lakhs) per month for a period of 2-months. ",No,Sriram Subramaniam,Sach Keerat ,,,,
65,First Addendum to the Services Agreement,15-Jul-25,India Bond Private Limited,One Club Ventures Private Limited,Amendment in Deliverables and Commercials ,,Flat referral incentive of ?500 (Indian Rupees Five Hundred Only) for each completed and verified investor KYC (‘KYC Approved’),No,Sriram Subramaniam,Sach Keerat ,,,,
66,Service Agreement,30-Apr-25,India Bond Private Limited,Techdefence Labs Solutions Limited,"audit analysis for Financial Year 2024-25 of the Client in terms of Cyber Security
& Cyber Resilience Compliance Audit",1 year with 30 days notice. ,"INR 60,000",NO,"Mr. Anand Sonawane

Email ID – anand.sonawane@indiabonds.com","Mr. Sunny Vaghela

Email ID - sunny@techdefencelabs.com ",,,,
67,Sub-Consortium,24-Apr-25,India Bond Private Limited,Nuvama Wealth and Investment Limited,for Public Issue of Muthoot Fincorp Limited ,NA,Yes,No,Vaibhav / Harish Jagdale,,,,,
68,Online Bond Platform Access Agreement,29-May-25,India Bond Private Limited,One Centurion Ventures Private Limited,"introducing clients to the Company’s online bond platform, solely for the purpose of
enabling such clients to independently access and invest in fixed income securities","Term shall continue unless
terminated by either Party","Company shall not pay or share any fees, commissions, brokerage, referral incentives, or
any form of monetary or non-monetary consideration",No,Sriram Subramaniam,Sach Keerat ,,,,
69,Master Services Agreement,21-Jul-25,India Bond Private Limited,Anunta Technology Management Services Limited,"As more particularly defined in the Statement of Work (""SOW"")","3 (Three) years or last surviving SOW, whichever is later. ","Yes, as per Statement of Work. 
SOW-? 77,00,001/-",Yes as per SOW only ,Vishal Mody ,"Gautam Chakrabarty
022 66200888
Level 2, Block B6, Nirlon Knowledge Park, off Western Express Highway, Goregaon (East), Mumbai - 400 063. ",,,,
70,Master Service Agreement,31-Jul-25,India Bond Private Limited,ITW Catalyst Private Limited,performance marketing services (“SEM”) and allied services ,12 months,"Monthly Retainer - 
?1,50,000 - Till 1 Crore
?2,75,000 - 1 to 1.5 Crores

10% (ten percent) of the value of the respective SOW",NA,"Anushri Thakur 
Sriram Subramaniam","Name: Anuj Saraf
Designation: GM – Brand Marketing
E-mail id: anuj.saraf@itwglobal.com ",,,,
71,SOW No. 1 ,19-Aug-25,India Bond Private Limited,ITW Catalyst Private Limited,Procurement of advertising inventory through ITW DMCC from Apple Inc. ,,Fee Payable: USD 5701.25/- ,NA,"Anushri Thakur 
Sriram Subramaniam","Name: Anuj Saraf
Designation: GM – Brand Marketing
E-mail id: anuj.saraf@itwglobal.com ",,,,
72,SOW No. 2,11-Sep-25,India Bond Private Limited,ITW Catalyst Private Limited,"procurement of advertising inventory as detailed
in Clause 4 for advertisement of Client’s brand ‘India Bonds’ (“Brand”) during the
transmission of the ACC Men’s Asia Cup 2025",,"INR 1,00,00,000/- (Indian Rupees One Crore Only)",NA,"Anushri Thakur 
Sriram Subramaniam","Name: Anuj Saraf
Designation: GM – Brand Marketing
E-mail id: anuj.saraf@itwglobal.com ",,,,
73,SOW No. 3,,India Bond Private Limited,ITW Catalyst Private Limited,Pending. Not Signed,,,,,,,,,
74,SOW No. 4,31-Oct-25,India Bond Private Limited,ITW Catalyst Private Limited,procurement of inventory during India vs Australia 2025 series ,,"INR 25,00,000/- (Indian Rupees Twenty Five Lakhs Only)",NA,"Anushri Thakur 
Sriram Subramaniam","Name: Anuj Saraf
Designation: GM – Brand Marketing
E-mail id: anuj.saraf@itwglobal.com ",,,,
